2436,566,1938,631,2542,1315,141,1335,512,1329,0,0,0.996716,0.906929
1938,1707,390,2317,1335,2482,475,2377,2542,534,0,0,0.407853,0.208157
2231,1707,1055,1799,323,387,1405,323,679,1738,0,0,0.860149,0.396139
1938,1707,2721,892,390,11,5,2159,2688,2744,0,0,0.177608,0.0715222
1746,631,2542,1315,1857,997,1335,2408,1275,519,0,0,0.476519,0.292656
1746,631,2542,1315,171,1335,2562,1335,2542,1817,0,0,0.520011,0.321798
2510,631,2542,1315,1322,1335,792,2542,2496,2418,0,0,0.693622,0.478633
2565,631,2542,2296,1032,662,2675,2542,2714,963,0,0,0.527834,0.301536
1938,631,2542,1315,141,1335,2632,2542,1435,2390,0,0,0.369842,0.210475
631,837,323,1468,1335,2548,2361,2161,145,2297,0,0,0.53997,0.244657
1938,631,2542,1315,141,1335,512,2542,199,458,0,0,0.265821,0.137265
1746,631,2542,2232,2508,323,1480,2611,1359,1164,0,0,0.446535,0.263816
2510,631,2542,1315,2724,1289,2259,2219,2688,1282,0,0,0.680584,0.487726
1746,631,2542,399,2675,2542,1683,2675,2208,1,0,0,0.581551,0.34328
1746,631,2542,1315,1468,1335,75,2295,73,1613,0,0,0.569098,0.36055
1746,631,2542,1315,1468,1335,1572,2192,1780,1672,0,0,0.709417,0.487493
2565,2255,2542,498,764,2219,2542,672,2675,1230,0,0,0.531408,0.313271
290,2721,2094,2542,514,1335,2538,323,431,823,0,0,0.587758,0.492169
2049,799,2510,390,290,214,2542,1,2372,2049,0,0,0.124171,0.192622
1055,757,439,2721,358,720,2688,748,1191,6,0,0,0.831759,0.64803
2602,1850,2644,390,1494,1240,2542,96,2678,2721,0,0,0.143534,0.133076
11,2721,2363,2115,1746,2542,370,1289,2688,631,0,0,0.424891,0.188323
1707,2721,892,390,1494,2188,1289,1142,81,1718,0,0,0.248666,0.0734031
169,2721,2095,2688,187,406,2296,2675,2542,979,0,0,0.483278,0.447228
631,2032,2415,2231,390,1487,2542,225,1109,93,0,0,0.225168,0.08367
1561,2721,892,2542,1592,1494,2196,1373,759,6,0,0,0.420954,0.255073
2721,358,2231,1335,635,2542,306,2103,1561,2721,0,0,0.999691,0.848327
631,837,1896,1468,390,11,1346,2542,2013,920,0,0,0.155698,0.0569217
2049,799,2510,390,290,214,2542,1,2372,2049,0,0,0.124171,0.192622
1055,757,439,2721,358,720,2688,748,1191,6,0,0,0.831759,0.64803
2602,1850,2644,390,1494,1240,2542,96,2678,2721,0,0,0.143534,0.133076
11,2721,2363,2115,1746,2542,370,1289,2688,631,0,0,0.424891,0.188323
1707,2721,892,390,1494,2188,1289,1142,81,1718,0,0,0.248666,0.0734031
169,2721,2095,2688,187,406,2296,2675,2542,979,0,0,0.483278,0.447228
631,2032,2415,2231,390,1487,2542,225,1109,93,0,0,0.225168,0.08367
1561,2721,892,2542,1592,1494,2196,1373,759,6,0,0,0.420954,0.255073
1707,2721,2244,2565,631,596,1335,2007,2542,2193,821,0,0.780939,0.473471
2565,1940,2542,1718,2337,1335,2706,2542,1011,2675,372,0,0.577584,0.297156
631,2032,1463,1335,2193,2414,2459,2542,1378,2675,1403,0,0.767063,0.39864
1746,631,2542,2296,1048,1468,1335,2408,323,306,675,0,0.629019,0.397442
290,2721,2732,2542,498,1589,2675,1,1011,2675,640,0,0.496171,0.431918
290,2721,2657,2115,856,1382,2159,323,2297,1220,766,0,0.740583,0.763738
290,2721,1493,2542,574,2508,206,2611,1,2361,1638,0,0.515118,0.393755
2231,1707,1055,865,2436,2368,1938,2032,1926,1808,877,0,0.595827,0.165636
290,2721,1156,323,2488,1289,2026,1405,323,306,777,0,0.729425,0.772694
1707,2721,2244,439,2542,170,631,2472,1289,19,2747,0,0.588009,0.202841
11,2721,2114,2115,720,2542,2699,1940,1350,2688,2106,0,0.376584,0.152101
2721,892,2688,631,2542,2310,1192,1289,2542,593,2310,0,0.992118,0.734674
631,2032,1463,2049,38,1746,390,2260,1436,1335,1707,0,0.765855,0.34834
290,2721,1493,720,2542,2151,1561,1180,2159,1931,2044,0,0.486853,0.362257
1707,2721,2164,390,1098,77,969,1335,2272,2688,2195,0,0.204913,0.0485693
169,2721,1850,2644,420,2542,552,631,2542,2614,147,0,0.418888,0.28943
1707,2721,892,390,1494,2710,2542,1757,73,2542,510,0,0.147772,0.0389899
11,2721,2543,2148,2688,283,2358,2404,137,2735,2318,0,0.258748,0.133613
169,2032,1009,1286,1335,2041,77,204,2219,2542,1387,0,0.77524,0.621288
2510,631,2542,1414,1680,1479,0,0,0,0,0,0,0.917077,0.835505
631,2032,596,1335,1556,236,0,0,0,0,0,0,0.958114,0.822101
1746,631,2542,2034,2675,1515,0,0,0,0,0,0,0.771253,0.702417
2510,11,1055,214,77,969,0,0,0,0,0,0,0.824169,0.7987
1055,2224,1746,1742,2721,857,0,0,0,0,0,0,0.956769,0.625166
290,2721,12,168,2542,1760,0,0,0,0,0,0,0.659068,0.605892
1938,631,2542,2166,1680,2222,0,0,0,0,0,0,0.720963,0.589951
1746,631,2542,1974,2675,1036,0,0,0,0,0,0,0.675723,0.617254
2510,1494,1055,2327,2436,2263,0,0,0,0,0,0,0.851708,0.798877
290,2721,12,1420,77,622,0,0,0,0,0,0,0.716304,0.71111
2231,1707,1055,1227,2436,2149,0,0,0,0,0,0,0.81079,0.494417
2510,1494,390,84,2542,1569,0,0,0,0,0,0,0.527508,0.383754
2565,11,144,2436,2172,1794,0,0,0,0,0,0,0.987062,0.965603
1938,2478,2542,380,1009,866,0,0,0,0,0,0,0.776236,0.741285
631,2692,1825,48,1289,2065,0,0,0,0,0,0,0.604568,0.399486
11,2721,152,2115,2404,2688,2195,0,0,0,0,0,0.552538,0.41375
2231,11,1055,2393,2436,302,1111,0,0,0,0,0,0.730478,0.586562
2530,1360,675,1494,1055,2408,1718,0,0,0,0,0,0.890762,0.847291
631,2032,1481,1335,2193,1860,6,0,0,0,0,0,0.87701,0.660599
2565,11,152,2115,2404,2688,2744,0,0,0,0,0,0.490555,0.371886
2530,2457,1707,1055,1098,1335,1729,0,0,0,0,0,0.555644,0.32261
11,2721,1537,2115,2404,2436,515,0,0,0,0,0,0.512828,0.369154
2565,690,2542,1031,2554,949,460,0,0,0,0,0,0.799076,0.713476
1938,631,2542,370,1289,2542,19,0,0,0,0,0,0.463452,0.294329
6,2436,1760,631,2688,2292,410,0,0,0,0,0,0.781819,0.67273
11,2721,2325,2688,2666,1289,2115,0,0,0,0,0,0.519277,0.395565
2510,533,2721,2408,73,855,2295,0,0,0,0,0,0.30159,0.250705
290,2721,1660,2542,786,881,12,0,0,0,0,0,0.617717,0.57006
2231,533,2721,2562,1373,2219,1360,0,0,0,0,0,0.267044,0.225655
11,2721,1554,2688,2084,1289,2115,0,0,0,0,0,0.462467,0.300443
2510,1707,1055,1982,2436,247,170,0,0,0,0,0,0.958396,0.873445
1938,1494,390,96,2542,2166,1592,0,0,0,0,0,0.406826,0.301772
631,1948,634,2177,2614,1289,1473,0,0,0,0,0,0.74894,0.592717
1746,631,2542,2487,333,877,906,0,0,0,0,0,0.623852,0.517041
2231,1707,1055,1398,2688,17,2191,0,0,0,0,0,0.753551,0.420052
631,2032,2257,1335,1372,1594,1484,0,0,0,0,0,0.936509,0.768236
2231,1707,1055,1660,2542,766,862,0,0,0,0,0,0.6438,0.263823
11,2721,1566,2115,2542,1812,2569,0,0,0,0,0,0.416674,0.224931
2510,1707,2049,805,2542,897,1569,0,0,0,0,0,0.744421,0.442781
